Scn1,Sc2,Sc3,sc4
2.79,2.79,2.79,2.79
1.94,1.94,1.94,1.94
0,0,0,0
3.13,3.13,3.13,3.13
0.3,0.3,0.3,0.3
25.59,25.59,25.59,25.59
23.84,23.84,23.84,23.84
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.68,3.68,3.68,3.68
2.67,2.67,2.67,2.67
4.67,4.67,4.67,4.67
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,0.2,0.2,0.2
17.45,17.45,17.45,17.45
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.5,4.5,4.5,4.5
23.83,23.83,23.83,23.83
34.99,34.99,34.99,34.99
15.36,15.36,15.36,15.36
11.22,11.22,11.22,11.22
0,0,0,0
14.8,14.8,14.8,14.8
5.23,5.23,5.23,5.23
4.89,4.89,4.89,4.89
2.87,2.87,2.87,2.87
0.33,0.33,0.33,0.33
0.12,0.12,0.12,0.12
0.7,0.7,0.7,0.7
3.24,3.24,3.24,3.24
2.91,2.91,2.91,2.91
27.96,27.96,27.96,27.96
15.16,15.16,15.16,15.16
21.12,21.12,21.12,21.12
27.39,27.39,27.39,27.39
8.19,8.19,8.19,8.19
1.4,1.4,1.4,1.4
3.27,3.27,3.27,3.27
0.99,0.99,0.99,0.99
0,0,0,0
0,0,0,0
1.11,1.11,1.11,1.11
0,0,0,0
3.74,3.74,3.74,3.74
6.13,6.13,6.13,6.13
1.18,1.18,1.18,1.18
0,0,0,0
0,0,0,0
0,0,0,0
0.58,0.58,0.58,0.58
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.29,0.29,0.29,0.29
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.98,2.98,2.98,2.98
0.86,0.86,0.86,0.86
9.04,9.04,9.04,9.04
14.23,14.23,14.23,14.23
14.52,14.52,14.52,14.52
5.73,5.73,5.73,5.73
4.42,4.42,4.42,4.42
6.92,6.92,6.92,6.92
15.21,15.21,15.21,15.21
53.26,53.26,53.26,53.26
10.9,10.9,10.9,10.9
25.05,25.05,25.05,25.05
1.66,1.66,1.66,1.66
0,0,0,0
0,0,0,0
2.95,2.95,2.95,2.95
0,0,0,0
12.08,12.08,12.08,12.08
0,0,0,0
0.64,0.64,0.64,0.64
0,0,0,0
0,0,0,0
2.64,2.64,2.64,2.64
0,0,0,0
3.23,3.23,3.23,3.23
4.1,4.1,4.1,4.1
8.16,8.16,8.16,8.16
15.32,15.32,15.32,15.32
12.48,12.48,12.48,12.48
39.81,39.81,39.81,39.81
18.81,18.81,18.81,18.81
16.54,16.54,16.54,16.54
4.77,4.77,4.77,4.77
5.69,5.69,5.69,5.69
-99,-99,-99,-99
4.55,4.55,4.55,4.55
0,0,0,0
9.31,9.31,9.31,9.31
15.15,15.15,15.15,15.15
7.31,7.31,7.31,7.31
31.14,31.14,31.14,31.14
2.64,2.64,2.64,2.64
10.9,10.9,10.9,10.9
11.94,11.94,11.94,11.94
0,0,0,0
0,0,0,0
1.23,1.23,1.23,1.23
0,0,0,0
0.13,0.13,0.13,0.13
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.19,1.19,1.19,1.19
1.07,1.07,1.07,1.07
1.06,1.06,1.06,1.06
1.86,1.86,1.86,1.86
5.9,5.9,5.9,5.9
3.83,3.83,3.83,3.83
1.99,1.99,1.99,1.99
14.32,14.32,14.32,14.32
14.35,14.35,14.35,14.35
12.58,12.58,12.58,12.58
11.14,11.14,11.14,11.14
10.54,10.54,10.54,10.54
8.59,8.59,8.59,8.59
1.32,1.32,1.32,1.32
0.58,0.58,0.58,0.58
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7.27,7.27,7.27,7.27
10.39,10.39,10.39,10.39
0.91,0.91,0.91,0.91
4.22,4.22,4.22,4.22
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.99,0.99,0.99,0.99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
17.94,17.94,17.94,17.94
2.92,2.92,2.92,2.92
1.02,1.02,1.02,1.02
4.44,4.44,4.44,4.44
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.74,0.74,0.74,0.74
-99,-99,-99,-99
0,0,0,0
1.51,1.51,1.51,1.51
1.26,1.26,1.26,1.26
1.36,1.36,1.36,1.36
0,0,0,0
3.74,3.74,3.74,3.74
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.22,5.22,5.22,5.22
10.05,10.05,10.05,10.05
1.21,1.21,1.21,1.21
0,0,0,0
0,0,0,0
1.56,1.56,1.56,1.56
3.91,3.91,3.91,3.91
0,0,0,0
0,0,0,0
0,0,0,0
11.65,11.65,11.65,11.65
13.97,13.97,13.97,13.97
5.09,5.09,5.09,5.09
3.46,3.46,3.46,3.46
3.61,3.61,3.61,3.61
5.64,5.64,5.64,5.64
0.4,0.4,0.4,0.4
2.45,2.45,2.45,2.45
3.26,3.26,3.26,3.26
0,0,0,0
11.74,11.74,11.74,11.74
15.17,15.17,15.17,15.17
19.03,19.03,19.03,19.03
0.99,0.99,0.99,0.99
0,0,0,0
0,0,0,0
0,0,0,0
