ID,NAME,LAT,LONG,ELEVATION
277,45-9375000_9-0000000p,45.94,9,1277.2
278,45-9375000_9-0208333p,45.94,9.02,1330.5
279,45-9375000_9-0416667p,45.94,9.04,1169.5
280,45-9375000_9-0625000p,45.94,9.06,833.8
281,45-9375000_9-0833333p,45.94,9.08,535.8
282,45-9375000_9-1041667p,45.94,9.1,592.5
283,45-9583333_6-9791667p,45.96,6.98,2600
284,45-9583333_7-0000000p,45.96,7,3040.2
285,45-9583333_7-0208333p,45.96,7.02,3360.8
286,45-9583333_7-0416667p,45.96,7.04,3055.5
287,45-9583333_7-0625000p,45.96,7.06,2666
288,45-9583333_7-0833333p,45.96,7.08,1703.5
289,45-9583333_7-1041667p,45.96,7.1,1537
290,45-9583333_7-1250000p,45.96,7.13,2442.2
291,45-9583333_7-1458333p,45.96,7.15,2177.2
292,45-9583333_7-1666667p,45.96,7.17,2363.8
293,45-9583333_7-1875000p,45.96,7.19,1875.5
294,45-9583333_7-2083333p,45.96,7.21,2092.2
295,45-9583333_7-2291667p,45.96,7.23,2517.5
296,45-9583333_7-2500000p,45.96,7.25,3229.5
297,45-9583333_7-2708333p,45.96,7.27,3390.2
298,45-9583333_7-2916667p,45.96,7.29,3620.5
299,45-9583333_7-3125000p,45.96,7.31,3066.8
300,45-9583333_7-3333333p,45.96,7.33,2466
301,45-9583333_7-3541667p,45.96,7.35,2045
302,45-9583333_7-3750000p,45.96,7.38,2709.8
303,45-9583333_7-3958333p,45.96,7.4,2973.5
304,45-9583333_7-4166667p,45.96,7.42,2956.5
305,45-9583333_7-4375000p,45.96,7.44,2915.5
306,45-9583333_7-4583333p,45.96,7.46,3277.5
307,45-9583333_7-4791667p,45.96,7.48,3107.5
308,45-9583333_7-5000000p,45.96,7.5,3073.5
309,45-9583333_7-5208333p,45.96,7.52,3204.2
310,45-9583333_7-5416667p,45.96,7.54,2692.5
311,45-9583333_7-5625000p,45.96,7.56,2918
312,45-9583333_7-5833333p,45.96,7.58,3457.5
313,45-9583333_7-6041667p,45.96,7.6,2807.5
314,45-9583333_7-6250000p,45.96,7.63,2318.8
315,45-9583333_7-6458333p,45.96,7.65,2547.8
316,45-9583333_7-6666667p,45.96,7.67,2886.8
317,45-9583333_7-6875000p,45.96,7.69,3166.5
318,45-9583333_7-7083333p,45.96,7.71,3225.5
319,45-9583333_7-7291667p,45.96,7.73,3202.5
320,45-9583333_7-7500000p,45.96,7.75,3183.5
321,45-9583333_7-7708333p,45.96,7.77,3131
322,45-9583333_7-7916667p,45.96,7.79,3016
323,45-9583333_7-8125000p,45.96,7.81,3189.2
324,45-9583333_7-8333333p,45.96,7.83,3747
325,45-9583333_7-8541667p,45.96,7.85,3971
326,45-9583333_7-8750000p,45.96,7.88,2901.2
327,45-9583333_7-8958333p,45.96,7.9,2287.8
328,45-9583333_7-9166667p,45.96,7.92,2313.8
329,45-9583333_7-9375000p,45.96,7.94,2367.8
330,45-9583333_7-9583333p,45.96,7.96,1620.5
331,45-9583333_7-9791667p,45.96,7.98,1513
332,45-9583333_8-0000000p,45.96,8,1597.5
333,45-9583333_8-0208333p,45.96,8.02,1705.5
334,45-9583333_8-7708333p,45.96,8.77,333.8
335,45-9583333_8-7916667p,45.96,8.79,513.5
336,45-9583333_8-8125000p,45.96,8.81,585
337,45-9583333_8-8333333p,45.96,8.83,478.2
338,45-9583333_8-8541667p,45.96,8.85,445.5
339,45-9583333_8-8750000p,45.96,8.88,270.8
340,45-9583333_8-8958333p,45.96,8.9,294.8
341,45-9583333_8-9166667p,45.96,8.92,478.2
342,45-9583333_8-9375000p,45.96,8.94,248.8
343,45-9583333_8-9583333p,45.96,8.96,465
344,45-9583333_8-9791667p,45.96,8.98,509.5
345,45-9583333_9-0000000p,45.96,9,1132.5
